Gene,LogFC,FDR,Importance,Source
SLC44A2,0.1642001256149896,0.0013812109993086,0.0066275803088487,GSE99039
SPI1,0.3113553229352046,0.0010251983809662,0.0066178780260509,GSE99039
S100A11,0.1894135454830952,0.0011732876281788,0.0059396906194916,GSE99039
MGRN1,0.1861656652360519,0.0005435184958821,0.0059334683471797,GSE99039
FGR,0.1971408772113481,0.0013812109993086,0.0058553525837547,GSE99039
TFEB,0.1620913325656854,0.0013812109993086,0.0056090839087391,GSE99039
TMLHE-AS1,,,0.1659983177407768,Previous
CHIT1,,,0.155192846799172,Previous
COL17A1,,,0.1532467996765963,Previous
NXF3,,,0.1503466449203482,Previous
FIGN,,,0.1453535267069775,Previous
CCDC150,,,0.1430395713381406,Previous
CES3,,,0.1285003220734321,Previous
SLC6A20,,,0.1223039888860272,Previous
HTR3A,,,-0.1201771293404838,Previous
GPR160P1,,,0.1177969247044519,Previous
CD8B2,,,-0.1177661395475671,Previous
TSIX,,,-0.1152399968411044,Previous
COX20P1,,,-0.1119759342902553,Previous
PCDHGA10,,,0.1114556736404783,Previous
TPD52L1,,,0.1085863657821772,Previous
NFIB,,,-0.1068995034815759,Previous
PRR13P5,,,0.1047406224739771,Previous
LINC01281,,,-0.1029147133923621,Previous
CEACAM6,,,0.0960284022496664,Previous
SRPK2-AS1,,,0.090420885500636,Previous
LOC105374328,,,0.0898250099352706,Previous
SMAD6,,,0.0894748202590565,Previous
LINC01881,,,0.0883858098212641,Previous
AP3S1P2,,,0.087190771339476,Previous
ITPRIP-AS1,,,0.0855011282661592,Previous
FSCN3,,,0.0854499434391152,Previous
HOXA4,,,0.0852426207550438,Previous
CASC8,,,0.0852315175563884,Previous
WASHC2A,,,0.0851430937088467,Previous
PALM,,,0.0806910538007148,Previous
FTH1P4,,,0.0799062716860401,Previous
MTDHP3,,,0.0774377757250541,Previous
LARP1P1,,,0.076858459600237,Previous
PSD2,,,0.0759911086905766,Previous
NUTM2B,,,0.0755960915130551,Previous
CABP5,,,-0.0729638356554567,Previous
IGLV1-36,,,-0.0728806064019071,Previous
S100B,,,-0.0723425355750536,Previous
SYDE2,,,0.0722858156122883,Previous
ARHGEF17,,,0.0672556954507245,Previous
EPHX3,,,0.0660257139501963,Previous
PRG4,,,0.0653503201289479,Previous
CORIN,,,0.0645348468112744,Previous
LINC02212,,,0.064505097827427,Previous
TTTY10,,,0.0642872800023415,Previous
BICDL2,,,0.0627580664708579,Previous
FZD7,,,0.0613489672814447,Previous
DTNA,,,0.0607312028742435,Previous
COL23A1,,,0.0606537401047199,Previous
KRT17P8,,,0.0602563157657801,Previous
HNRNPA1P52,,,0.0597667009898726,Previous
CHRM5,,,0.059157114424301,Previous
SMARCE1P6,,,0.058975850496291,Previous
NCAPG,,,0.0589171018475625,Previous
MTND2P28,,,-0.0585462194862503,Previous
NUTM2E,,,-0.0578726749933383,Previous
CXCL5,,,0.056878753431183,Previous
HBE1,,,0.0540119297520845,Previous
MIA2,,,0.0533380690328892,Previous
SEPTIN7P8,,,0.0528207446402093,Previous
LPL,,,0.0516686581987288,Previous
RPS24P19,,,0.0514757474751742,Previous
LGALSL,,,0.0510855702413573,Previous
LINC00622,,,0.0507748593445653,Previous
MDGA1,,,0.0503758581467954,Previous
RFX3-DT,,,0.0499972253001768,Previous
DSP,,,0.0489646584891686,Previous
GK4P,,,0.0485330429382453,Previous
SLX4IP,,,0.0483537550861163,Previous
TMEM132C,,,0.0481601352217545,Previous
NKAPL,,,0.0481560217090402,Previous
TRPC6P10,,,0.0470113652070179,Previous
C5ORF34-AS1,,,0.0463177732113839,Previous
ETV5,,,0.0461759261047601,Previous
APOBEC3B,,,0.0457316253307058,Previous
VCAM1,,,0.0445424384231442,Previous
SNX18P3,,,0.0434453867721027,Previous
MINAR1,,,0.0428350454453786,Previous
LINC00656,,,0.0419850353052624,Previous
GAB4,,,0.041247843615891,Previous
LGI2,,,0.0411841550142614,Previous
NPM1P27,,,0.0406619232837013,Previous
TANC1,,,0.0405713313306453,Previous
ERRFI1,,,0.0403987407690964,Previous
CYYR1,,,0.0398315402564753,Previous
KCNA5,,,0.0393846422084767,Previous
RPL7P23,,,0.0391074994571432,Previous
RPL9P33,,,0.0385193855656933,Previous
PTGS2,,,-0.0361256690490162,Previous
LINC00189,,,0.0357530999542712,Previous
NDUFB2-AS1,,,0.0354320982243596,Previous
RNU6-1095P,,,0.035337361788832,Previous
SNRK-AS1,,,0.0350992179372276,Previous
HMGB1P10,,,0.035089511262001,Previous
IGLVI-70,,,-0.0345725984594356,Previous
USP9Y,,,0.0344822219020298,Previous
RPL8P5,,,0.0344613307855002,Previous
LDHC,,,0.0341822120706006,Previous
ARRDC4,,,0.0341519918369425,Previous
DPH6,,,0.0341132603249464,Previous
AKR1C7P,,,0.033892772000377,Previous
SNORA33,,,0.0330303343952079,Previous
BCORP1,,,0.0329105253237373,Previous
SUV39H2-DT,,,0.0327315267113883,Previous
SLITRK4,,,0.0325976082466789,Previous
FAR2P2,,,0.0325050785398168,Previous
IFI27,,,0.0320709486469513,Previous
ADORA1,,,0.0313440083311273,Previous
RPS10P1,,,0.0313398709525579,Previous
B3GAT1-DT,,,0.0309729263011226,Previous
MIR4458HG,,,0.030723017266002,Previous
LPAR1,,,0.0304292713600966,Previous
INHBB,,,0.0303393266351259,Previous
MACC1,,,0.0302768933445185,Previous
STOX1,,,0.0299996394021604,Previous
DNAAF11,,,0.029864328869727,Previous
UGT2B11,,,0.0297713057708615,Previous
LINC01277,,,0.0297112705694825,Previous
RPL7P18,,,0.029066060554897,Previous
