Gene,log2FC,p_value,FDR
ENSG00000260418,0.8296200496683839,0.019932705355767383,0.48882457721850875
ENSG00000135525,0.8028308945610947,0.01816060346582897,0.48882457721850875
ENSG00000116731,0.6243728312046919,0.021435767096155314,0.48882457721850875
ENSG00000137876,1.009889657191569,0.04962242853524547,0.48882457721850875
ENSG00000069974,0.6449528492785408,0.013344209486878362,0.48882457721850875
ENSG00000225973,0.6391997544357295,0.015326684180293286,0.48882457721850875
ENSG00000069943,0.6066211084858653,0.02750647121373151,0.48882457721850875
ENSG00000260916,0.9144569864973002,0.007877577016362138,0.48882457721850875
ENSG00000207964,-0.4166666666666667,0.0440001156298334,0.48882457721850875
ENSG00000181827,0.8366296071745936,0.03675543297697018,0.48882457721850875
ENSG00000226359,0.5709989585823039,0.040950738689735165,0.48882457721850875
ENSG00000214535,1.4079560650137526,0.006707695937349507,0.48882457721850875
ENSG00000137478,0.6822713798605804,0.009820013551772169,0.48882457721850875
ENSG00000189337,0.8911372158130488,0.03396889033523757,0.48882457721850875
ENSG00000231329,1.151323560099116,0.0067226261693595505,0.48882457721850875
ENSG00000164442,0.5710454634131192,0.0206629053131163,0.48882457721850875
ENSG00000027697,0.8281476391101048,0.010848471380668849,0.48882457721850875
ENSG00000051620,0.5541945439512208,0.016216397332890892,0.48882457721850875
ENSG00000198900,0.6058301013598406,0.024484219154183955,0.48882457721850875
ENSG00000197312,0.5540516090112897,0.04786599345755937,0.48882457721850875
ENSG00000137875,0.6006444942450785,0.03628109803026199,0.48882457721850875
ENSG00000197535,0.8039271912309314,0.009631467690137313,0.48882457721850875
ENSG00000259935,0.8183398999052189,0.04703165732785212,0.48882457721850875
ENSG00000124193,0.6109879693659597,0.04152075677812866,0.48882457721850875
ENSG00000185513,0.5056669340252977,0.014196073175915081,0.48882457721850875
ENSG00000229017,1.4701942176777587,0.0014096693466924637,0.48882457721850875
ENSG00000141030,0.44033099935063014,0.00822253777697672,0.48882457721850875
ENSG00000132669,0.9493511137593487,0.017510608195938117,0.48882457721850875
