Gene,PD_mean,CC_mean,Difference
ENSG00000259715,2.5465512523930482,1.0999102637098708,1.4466409886831775
ENSG00000226918,2.134624129177791,0.6888468706981945,1.4457772584795967
ENSG00000225630,8.219800124318366,9.665002909883283,-1.4452027855649163
ENSG00000273284,3.8074344556349007,2.3677737875427747,1.439660668092126
ENSG00000249863,4.5258972605133865,3.0875805731621795,1.438316687351207
ENSG00000175445,3.487454150249706,2.0514018395131317,1.4360523107365744
ENSG00000255328,4.476412656606116,5.901045588276653,-1.424632931670537
ENSG00000221937,2.4552905380573704,1.036412500309067,1.4188780377483035
ENSG00000259668,2.733808463810066,1.315334659700515,1.418473804109551
ENSG00000225489,2.020561716541095,0.6065609354521195,1.4140007810889756
ENSG00000004799,6.6883776625709705,5.277565907684912,1.4108117548860584
ENSG00000214535,4.081111055703586,2.6731549906898335,1.4079560650137521
ENSG00000269246,3.603709200671748,2.196727355372872,1.4069818452988758
ENSG00000196247,6.860661744299457,5.458654630524227,1.4020071137752304
ENSG00000271009,3.3388792125186675,1.9385337950789285,1.400345417439739
ENSG00000172828,2.511494865374629,1.1157954366624743,1.395699428712155
ENSG00000225972,1.833781686293143,3.2292566532133313,-1.3954749669201882
ENSG00000241772,2.4137281875850305,1.018763010168726,1.3949651774163045
ENSG00000145949,4.410567875461687,3.0164093252906956,1.394158550170991
ENSG00000116690,3.499462372930031,2.105397092070644,1.3940652808593872
ENSG00000165730,2.7322665027040145,1.3453896595768147,1.3868768431271998
ENSG00000179542,5.205900185700025,3.8193864388450423,1.3865137468549826
ENSG00000097096,1.8869008463444175,0.5054868283607735,1.3814140179836438
ENSG00000183340,5.215691382450477,3.8442652266723707,1.3714261557781064
ENSG00000145431,4.767781645853632,3.3983136185875327,1.3694680272660995
ENSG00000188056,5.153763881022855,3.7859774712895047,1.3677864097333505
ENSG00000272599,2.7029097753743065,1.338011958975956,1.3648978163983505
ENSG00000169432,3.818060761940695,2.453404069699777,1.364656692240918
ENSG00000163806,3.442419513244682,2.079499229257451,1.362920283987231
ENSG00000225422,2.9684109213393586,1.6099999536106597,1.3584109677286988
ENSG00000213759,2.378829051406702,1.021372001313377,1.3574570500933252
ENSG00000117479,5.111121720271318,3.758790901289175,1.3523308189821428
ENSG00000270062,3.521167431787589,2.1696908108547484,1.3514766209328406
ENSG00000178075,6.9207440171466805,5.572666458915985,1.3480775582306954
ENSG00000185947,8.080381118600569,6.7330676335947555,1.347313485005813
ENSG00000179630,5.084508532113477,3.7372578006006036,1.3472507315128737
ENSG00000152503,3.2598625497772566,1.9141491701150657,1.345713379662191
ENSG00000244071,2.4318206735689,1.0890528998923672,1.3427677736765327
ENSG00000178852,4.373902117572144,3.0348232575496104,1.3390788600225338
ENSG00000133055,7.436788072908147,6.1032772446167085,1.3335108282914385
ENSG00000224113,3.9791754744514627,2.6466804635526624,1.3324950108988003
ENSG00000271828,3.008850889747771,1.681853472634316,1.3269974171134549
ENSG00000147180,2.996496643199109,1.6699839821642297,1.3265126610348794
ENSG00000115183,2.0558033346787306,0.7319100427495101,1.3238932919292203
ENSG00000154620,2.832110045846371,1.5102907624441497,1.321819283402221
ENSG00000154734,5.142540204154815,3.8248480162596405,1.3176921878951746
ENSG00000229000,1.7282161412352348,0.4110633930116763,1.3171527482235585
ENSG00000169330,3.926577621060792,2.6105835926480436,1.3159940284127485
ENSG00000178726,8.9666217036043,7.657246968789431,1.3093747348148694
ENSG00000122877,2.641942758170686,1.3332521594737925,1.3086905986968935
ENSG00000009694,5.657581326152486,4.35106719220303,1.306514133949456
ENSG00000183439,2.2143684023534678,0.9086194133446825,1.3057489890087852
