Gene,Coefficient,Abs_Coefficient
KLRF1,0.0130283259499057,0.0130283259499057
SNX10,-0.0129991438555725,0.0129991438555725
GPNMB,0.0128932978013784,0.0128932978013784
MGAM2,-0.0128913652391666,0.0128913652391666
FBXL3,-0.0128402105012008,0.0128402105012008
ENSG00000269487,0.0127620853086356,0.0127620853086356
ENSG00000270659,0.0127587484859074,0.0127587484859074
ABCB10,-0.0127233440194995,0.0127233440194995
TSNAX,-0.0127050172285908,0.0127050172285908
ENSG00000268225,0.012663312295605,0.012663312295605
PLAGL1,-0.0126308647715885,0.0126308647715885
KIF20B,-0.0126250929276232,0.0126250929276232
MOB1B,-0.0125738815642145,0.0125738815642145
ENSG00000260296,-0.0125707836400608,0.0125707836400608
SLCO4C1,0.0124801269713085,0.0124801269713085
ENSG00000180543,-0.0124027501778436,0.0124027501778436
ENSG00000149231,-0.0123458524371215,0.0123458524371215
ADAMTS1,0.0123173347358416,0.0123173347358416
ENSG00000228695,0.012254693893633,0.012254693893633
ANKRD12,-0.0120636841946427,0.0120636841946427
ENSG00000272520,0.0119061129778215,0.0119061129778215
ZFY,0.0118888541178606,0.0118888541178606
ENSG00000236562,-0.0117357863159947,0.0117357863159947
ENSG00000251023,-0.011723325793686,0.011723325793686
ENSG00000172469,-0.011702458898637,0.011702458898637
LOC124904411,0.0116977769943364,0.0116977769943364
ZNF107,-0.0116431514281125,0.0116431514281125
PPP1R17,0.0116201162948404,0.0116201162948404
ZNF267,-0.0115959969278725,0.0115959969278725
ENSG00000272417,0.011591769873043,0.011591769873043
MYLK4,-0.0114417034260804,0.0114417034260804
ENSG00000225402,-0.0114006018547677,0.0114006018547677
ZWILCH,0.011308550419147,0.011308550419147
ENSG00000153130,-0.0111438999465164,0.0111438999465164
HECW2,-0.0111311513318352,0.0111311513318352
LINC01580,0.0111272168687149,0.0111272168687149
ENSG00000260837,-0.0110878945014591,0.0110878945014591
EXPH5,0.0110057867888244,0.0110057867888244
OTUD6B,-0.0107762407284051,0.0107762407284051
RPS4XP16,0.010714937470749,0.010714937470749
ADAM10,-0.010611317333121,0.010611317333121
ENSG00000198146,-0.0104510386784428,0.0104510386784428
GNRHR,0.0102762492021622,0.0102762492021622
ENSG00000146757,-0.0102336114156486,0.0102336114156486
SGO2,-0.0101018481920016,0.0101018481920016
KTN1,-0.0100487380691717,0.0100487380691717
ENSG00000225972,-0.0098549033800715,0.0098549033800715
HOMER1,0.0096906587878434,0.0096906587878434
LIG4,-0.0095794331132693,0.0095794331132693
ZNF569,-0.009470848155618,0.009470848155618
RANBP6,-0.0093022590489695,0.0093022590489695
PIGA,-0.0092688843594472,0.0092688843594472
ENSG00000174194,0.0092146830682464,0.0092146830682464
ENSG00000267381,-0.0090609654677517,0.0090609654677517
SCN9A,0.0089954326361247,0.0089954326361247
DCP2,-0.0089419238143284,0.0089419238143284
PRDM5,0.0089075165703438,0.0089075165703438
ENSG00000269246,0.0088171911002613,0.0088171911002613
C2orf69,-0.008715280273334,0.008715280273334
PPM1B,-0.0086961854394662,0.0086961854394662
ENSG00000204466,-0.0086859735323461,0.0086859735323461
ENSG00000272732,0.0086760088299459,0.0086760088299459
ENSG00000168903,0.008561175338485,0.008561175338485
SGPP1,-0.0085136393001671,0.0085136393001671
KBTBD8,-0.0084849315475933,0.0084849315475933
DEK,-0.0083726253370118,0.0083726253370118
ENSG00000143674,-0.0082966118415322,0.0082966118415322
BACH1,-0.008272018616024,0.008272018616024
ERI2,0.008229949304253,0.008229949304253
SPAG1,0.008204599527731,0.008204599527731
TRIM36,0.0081697120479831,0.0081697120479831
ENSG00000255624,0.0079998254816242,0.0079998254816242
ENSG00000234287,0.0079157716300087,0.0079157716300087
EPS8,-0.0075626562080193,0.0075626562080193
E2F3,-0.007549208787102,0.007549208787102
ENSG00000273284,0.0075451202428872,0.0075451202428872
ZNF624,-0.0074884859122393,0.0074884859122393
TWSG1,-0.0074597982869325,0.0074597982869325
ENSG00000157224,0.0073376949789891,0.0073376949789891
IFNG,0.0070963459632009,0.0070963459632009
CEP290,-0.0070878247961945,0.0070878247961945
LEPR,0.0070814146651541,0.0070814146651541
ENSG00000230565,0.0069247394175599,0.0069247394175599
CHML,-0.0068027980500884,0.0068027980500884
TMEM209,-0.0067923794578887,0.0067923794578887
ENSG00000183844,0.0067447818226096,0.0067447818226096
RPS10P5,-0.0067444238156102,0.0067444238156102
RESF1,-0.0067411147574241,0.0067411147574241
OTUD6B-AS1,-0.0066834933507992,0.0066834933507992
MANEA-DT,0.0066347235422612,0.0066347235422612
EOGT,-0.0066058345422051,0.0066058345422051
LRRCC1,0.0064716366584073,0.0064716366584073
PCGF6,-0.0063792684239467,0.0063792684239467
BACH1-IT2,0.0063552756365626,0.0063552756365626
WDR12P1,-0.0063015957731342,0.0063015957731342
