Gene_Symbol,GSM4054763_Counts_SN_C1,GSM4054764_Counts_SN_C2,GSM4054765_Counts_SN_C3,GSM4054766_Counts_SN_C4,GSM4054767_Counts_SN_C5,GSM4054768_Counts_SN_PD1,GSM4054769_Counts_SN_PD2,GSM4054770_Counts_SN_PD3,GSM4054771_Counts_SN_PD4,GSM4054772_Counts_SN_PD5
ABHD14A,491.786,354.389,395.927,788.881,434.354,587.771,234.486,389.752,422.573,358.621
ABHD14A-ACY1,41.955,47.682,72.189,104.36,53.191,99.669,33.505,43.571,84.688,73.492
ABHD14B,458.999,309.001,360.245,580.999,266.0,438.844,266.574,354.683,445.728,337.978
ABHD15,282.595,132.011,172.268,218.411,87.26,179.342,178.532,207.599,175.394,242.699
ABHD15-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ABHD16A,158.134,178.457,42.188,125.1,18.014,407.305,248.205,72.507,451.99,98.985
ABHD16B,3.0,3.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,1.0
ABHD16B-AS1,199.0,128.0,123.0,217.0,120.0,158.0,75.0,112.0,143.0,106.0
ABHD17A,3568.792,2428.028,3100.59,3763.135,2334.174,3517.637,2324.703,2458.986,3400.618,2507.672
ABHD17AP1,1.239,0.0,2.695,1.211,2.587,1.644,0.0,2.563,0.0,4.011
ABHD17AP3,2.174,0.0,2.159,5.67,0.0,2.541,0.0,0.0,1.047,1.244
ABHD17AP4,2.254,0.0,0.0,0.0,1.097,1.843,0.0,1.664,0.0,3.183
ABHD17AP5,1.108,1.097,2.246,0.0,2.216,0.0,1.095,1.705,1.091,0.0
ABHD17AP6,4.429,6.868,3.309,18.68,1.924,3.325,2.198,5.076,2.225,8.888
ABHD17AP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001
ABHD17B,1327.36,1177.168,1046.802,1538.666,666.68,1920.943,572.079,1294.668,1709.613,1620.817
ABHD17C,330.0,259.0,249.0,412.0,167.0,332.0,173.0,230.0,319.001,336.0
ABHD18,566.968,321.103,440.15,564.463,276.076,535.67,203.518,422.166,605.957,563.287
ABHD2,4604.344,1936.732,2089.098,4149.537,1800.69,2962.492,1721.183,2548.393,3301.371,2584.158
ABHD3,677.148,372.58,345.022,783.387,275.413,547.74,491.364,420.021,483.497,770.195
ABHD4,906.0,572.999,622.001,953.001,356.999,797.001,836.001,635.999,745.0,929.0
ABHD5,596.105,485.012,413.0,643.0,247.0,613.0,426.0,426.0,521.0,731.653
ABHD6,1125.762,1164.874,1078.321,1729.489,774.509,1906.504,897.197,1246.626,1493.662,1731.408
ABHD8,807.0,621.0,478.0,1083.0,528.0,815.0,493.0,480.0,584.969,467.0
ABI1,2434.999,1211.0,1398.999,2258.0,982.0,2091.999,1146.0,1640.0,2017.999,1833.0
ABI1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI2,4223.041,2700.734,2943.822,4511.574,2427.743,4422.315,1739.958,3160.838,4551.853,4215.971
ABI3,587.0,147.0,191.0,506.0,130.0,220.0,250.0,344.0,224.001,185.999
